uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
ct:p',skos:Concept,p',colt:quartaireeenheid,,Niet gedifferentieerd facies (zandig tot kleiig),,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:q,skos:Concept,q,colt:quartaireeenheid,,Silteus tot kleiig facies,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:q',skos:Concept,q',colt:quartaireeenheid,,Niet gedifferentieerd,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:t,skos:Concept,t,colt:quartaireeenheid,,Kleiig/zandig complex (Lid van Turnhout),,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:y,skos:Concept,y,colt:quartaireeenheid,,Pré-Saaliaan continentaal,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:y',skos:Concept,y',colt:quartaireeenheid,,Dominant zandig facies,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:z,skos:Concept,z,colt:quartaireeenheid,,?,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:£,skos:Concept,£,colt:quartaireeenheid,,"Zand- en grindfacies (Maas en Rijn, Lommel)",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:¥,skos:Concept,¥,colt:quartaireeenheid,,"Grindfacies (Maas en Rijn, Lixhe",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:Æ,skos:Concept,Æ,colt:quartaireeenheid,,Zandig facies,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:å,skos:Concept,å,colt:quartaireeenheid,,"Silt met intercalaties van kleiige, venige en/of zandige laagjes",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:u,skos:Concept,u,colt:quartaireeenheid,,Kleiig/zandig complex (Lid van Rijkevorsel),,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:v,skos:Concept,v,colt:quartaireeenheid,,"Holoceen, continentaal",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
